"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"245",2015-02-09,"14:52",1,0,0,"roel alleen",2015-02-09 14:52:00,1
"246",2015-02-09,"13:28",1,0,0,"roel alleen",2015-02-09 13:28:00,1
"247",2015-02-09,"10:29",1,0,0,"roel alleen",2015-02-09 10:29:00,1
"248",2015-02-09,"09:31",1,0,0,"roel alleen",2015-02-09 09:31:00,1
"249",2015-02-08,"14:23",1,0,0,"roel alleen",2015-02-08 14:23:00,1
"250",2015-02-08,"11:20",1,0,0,"roel alleen",2015-02-08 11:20:00,1
"251",2015-02-08,"11:08",1,0,0,"roel alleen",2015-02-08 11:08:00,1
"252",2015-02-07,"14:57",1,0,0,"roel alleen",2015-02-07 14:57:00,1
"253",2015-02-07,"11:42",1,0,0,"roel alleen",2015-02-07 11:42:00,1
"254",2015-02-07,"10:57",1,0,0,"roel alleen",2015-02-07 10:57:00,1
"255",2015-02-06,"10:46",1,0,0,"roel alleen",2015-02-06 10:46:00,1
"256",2015-02-06,"10:32",1,0,0,"roel alleen",2015-02-06 10:32:00,1
"257",2015-02-05,"16:24",1,0,0,"roel alleen",2015-02-05 16:24:00,1
"258",2015-02-05,"16:20",1,0,0,"roel alleen",2015-02-05 16:20:00,1
"259",2015-02-05,"13:27",1,0,0,"roel alleen",2015-02-05 13:27:00,1
"260",2015-02-05,"11:19",1,0,0,"roel alleen",2015-02-05 11:19:00,1
"261",2015-02-05,"09:52",1,0,0,"roel alleen",2015-02-05 09:52:00,1
"262",2015-02-05,"09:43",1,0,0,"roel alleen",2015-02-05 09:43:00,1
"263",2015-02-04,"13:19",1,0,0,"roel alleen",2015-02-04 13:19:00,1
"264",2015-02-04,"11:23",1,0,0,"roel alleen",2015-02-04 11:23:00,1
"265",2015-02-04,"10:05",1,0,0,"roel alleen",2015-02-04 10:05:00,1
"266",2015-02-03,"15:45",1,0,0,"roel alleen",2015-02-03 15:45:00,1
"267",2015-02-03,"09:41",1,0,0,"roel alleen",2015-02-03 09:41:00,1
"268",2015-02-03,"09:19",1,0,0,"roel alleen",2015-02-03 09:19:00,1
"269",2015-02-02,"13:47",1,0,0,"roel alleen",2015-02-02 13:47:00,1
"270",2015-02-02,"12:10",1,0,0,"roel alleen",2015-02-02 12:10:00,1
"271",2015-02-02,"10:11",1,0,0,"roel alleen",2015-02-02 10:11:00,1
"272",2015-02-01,"18:34",1,0,0,"roel alleen",2015-02-01 18:34:00,1
"273",2015-02-01,"16:34",1,0,0,"roel alleen",2015-02-01 16:34:00,1
"274",2015-02-01,"10:45",1,0,0,"roel alleen",2015-02-01 10:45:00,1
"275",2015-02-01,"10:27",1,0,0,"roel alleen",2015-02-01 10:27:00,1
"276",2015-01-31,"15:35",1,0,0,"roel alleen",2015-01-31 15:35:00,1
"277",2015-01-31,"15:15",1,0,0,"roel alleen",2015-01-31 15:15:00,1
"278",2015-01-31,"10:47",1,0,0,"roel alleen",2015-01-31 10:47:00,1
"279",2015-01-31,"10:36",1,0,0,"roel alleen",2015-01-31 10:36:00,1
"280",2015-01-30,"16:38",1,0,0,"roel alleen",2015-01-30 16:38:00,1
"281",2015-01-30,"09:00",1,0,0,"roel alleen",2015-01-30 09:00:00,1
"282",2015-01-29,"13:47",1,0,0,"roel alleen",2015-01-29 13:47:00,1
"283",2015-01-29,"10:35",1,0,0,"roel alleen",2015-01-29 10:35:00,1
"284",2015-01-28,"16:38",1,0,0,"roel alleen",2015-01-28 16:38:00,1
